BTC,NYSE,NASDAQ,LSE,BTC_Volume,NYSE_Volume,NASDAQ_Volume,LSE_Volume
14982,12902,7006,3742,168466,33974,19297,4
15201,12957,7065,3749,168719,35440,21731,10
15599,13028,7077,3749,217831,36973,21032,6
17429,13103,7136,3758,238408,32392,20240,22
15170,13114,7157,3744,184138,32461,20550,9
14595,13120,7163,3719,166599,34674,21558,10
14973,13106,7153,3700,185008,35799,21324,19
13405,13210,7211,3649,165340,36456,20151,13
13980,13294,7261,3700,120656,35872,19866,16
11490,13246,7223,3699,188537,43628,23997,13
11188,13352,7298,3689,188306,37903,22459,12
11474,13315,7296,3695,150203,37033,20374,16
11607,13384,7336,3751,107404,37242,20054,42
10931,13470,7408,3719,105374,34894,21183,12
10868,13474,7460,3799,96606,35411,21358,10
11359,13507,7415,3988,99409,40792,22873,29
11259,13512,7411,3932,88731,38731,20813,15
11171,13637,7505,4024,97461,34746,20807,27
11296,13524,7466,4025,71073,35874,21144,14
10106,13375,7402,3989,86378,40120,21834,17
10221,13367,7411,3927,80411,42762,24289,11
9170,13381,7385,3995,99594,39773,23111,43
8830,13085,7240,4016,127268,43402,26071,33
6955,12572,6967,3955,92852,53108,31432,14
7754,12745,7115,3912,139998,59173,31482,21
7621,12687,7051,4043,91692,46463,23800,13
8265,12270,6777,3918,93467,53338,27307,10
8736,12405,6874,3863,67848,56901,31653,11
8926,12560,6981,3934,62564,40692,22506,12
8598,12574,7013,3930,56967,35035,18303,7
9494,12746,7143,3972,79098,40119,22176,11
10166,12856,7256,4022,90625,36961,21240,19
10233,12874,7239,4050,72961,36469,20377,9
11403,12763,7234,4005,99265,36469,19218,5
10690,12695,7218,4069,94053,37890,19561,9
10005,12711,7210,4085,80400,37206,19275,6
10301,12884,7337,4056,77395,32003,18875,5
10366,12999,7421,4084,72876,34365,18765,6
10725,12819,7330,4054,69661,37520,21622,5
10397,12652,7273,4028,69361,42445,23849,8
10951,12518,7180,3942,73172,45144,24990,10
11086,12557,7257,3837,76205,38912,22914,14
11573,12680,7330,3881,64685,37336,20768,9
10779,12720,7372,3877,68321,33890,21329,10
9965,12707,7396,3922,87979,34066,21986,9
9395,12745,7427,3921,71860,32060,22777,8
9337,12918,7560,3936,87041,33768,23100,4
9205,12898,7588,3945,64573,32169,23144,10
9194,12831,7511,3905,59911,33242,24592,8
8269,12762,7496,3966,64382,33946,21129,9
8300,12743,7481,4019,68344,35437,20082,10
8338,12784,7481,3996,52893,54291,30899,18
8630,12651,7344,3959,67291,33274,23528,7
8913,12663,7364,4036,63617,32725,19760,6
8929,12683,7345,4150,60431,34347,19992,27
8728,12377,7166,4183,55303,37654,23709,12
8879,12177,6992,4124,59541,38293,24557,18
8209,12433,7220,4078,59210,35380,23413,6
7833,12302,7008,4166,53782,37613,23474,6
7954,12308,6949,4129,49352,38757,25519,10
7165,12452,7063,4126,63612,35723,25933,12
7083,12216,6870,4086,43334,36357,24026,8
7456,12367,6941,4086,54997,33958,23309,8
6853,12466,7042,4020,49360,33692,22615,14
6811,12571,7076,4152,56393,32304,21530,25
6636,12349,6915,4218,37668,33123,23597,12
6770,12380,6950,4260,48940,30761,20892,7
6834,12565,7094,4305,42727,35791,22520,12
6968,12514,7069,4246,46418,30545,18820,11
7889,12580,7140,4238,89062,30453,20270,12
7895,12546,7106,4270,77644,29885,17681,8
8058,12628,7156,4216,56313,30207,18004,5
7902,12705,7281,4175,69008,32861,19353,10
8163,12732,7295,4205,65299,34120,19087,8
8294,12671,7238,4250,70632,33751,19820,4
8845,12607,7146,4250,84381,34282,19351,9
8930,12610,7128,4215,69251,30303,17444,12
9697,12514,7007,4300,106788,37160,21542,13
8845,12517,7003,4273,110831,35636,20558,8
9281,12582,7118,4297,89705,36909,21412,9
8987,12594,7119,4318,75662,32345,20503,39
9240,12515,7066,4300,86739,37495,19985,11
9119,12493,7130,4355,77130,35628,19326,21
9235,12418,7100,4374,75581,40470,21578,17
9743,12392,7088,4297,102072,38675,23557,8
9700,12493,7209,4330,82178,33352,20405,11
9373,12519,7265,4351,73940,32668,19506,8
9234,12520,7266,4351,74158,37451,20709,8
9325,12632,7339,4402,72268,39136,22502,5
9043,12731,7404,4471,69066,33806,22504,5
8441,12761,7402,4431,84885,28748,20853,6
8716,12772,7411,4417,73641,29943,20858,12
8510,12704,7351,4475,67057,32911,21203,7
8368,12743,7398,4465,67602,32484,21030,9
8094,12747,7382,4498,58625,34781,19589,6
8250,12717,7354,4528,57641,33832,19821,10
8418,12804,7394,4543,51549,30534,19972,5
8041,12766,7378,4542,51370,33841,19274,5
7557,12743,7425,4469,64911,33331,19970,8
7587,12696,7424,4489,60492,32857,20354,6
7480,12634,7433,4544,48678,30152,17719,12
7472,12442,7396,4480,56626,37433,20953,8
7406,12625,7462,4448,49225,35664,20583,12
7494,12527,7442,4477,51271,42411,25333,13
7541,12620,7554,4484,49214,36943,22123,6
7514,12673,7606,4504,49931,34100,21521,7
7633,12658,7637,4516,49617,35235,20632,6
7653,12778,7689,4554,46922,36627,21981,5
7678,12788,7635,4502,44857,37420,23397,7
7624,12832,7645,4504,42275,31388,19498,5
6906,12856,7659,4543,47452,32621,19593,8
6582,12844,7703,4500,46543,34357,20198,5
6349,12785,7695,4514,50523,38207,21978,9
6675,12771,7761,4490,51387,35409,21936,23
6456,12734,7746,4410,39553,54519,30498,14
6734,12708,7747,4395,40392,33161,21026,12
6769,12638,7725,4370,40570,36711,22833,15
6776,12648,7781,4451,38886,33321,23164,15
6729,12560,7712,4450,35291,33365,23496,8
6083,12639,7692,4461,50798,54681,39563,4
6249,12481,7532,4400,55008,36632,24231,4
6093,12510,7561,4493,32797,35689,20688,13
6157,12412,7445,4459,32962,38039,23196,7
5903,12475,7503,4414,34678,34611,22088,7
6218,12504,7510,4471,39662,35868,22088,8
6614,12485,7567,4389,43969,30950,17778,7
6529,12494,7502,4436,46723,19114,11714,5
6639,12585,7586,4459,49992,29801,17546,8
